SN,start_lat,end_lat,start_lng,end_lng
1,27.45944444,27.54166667,85.54166667,85.55833333
2,27.8,27.81666667,84.50833333,84.525
3,27.90888889,27.93055556,85.4125,85.45305556
4,27.71944444,27.74444444,85.7625,85.7875
5,28.11666667,28.16666667,83.28888889,83.32777778
6,27.50111111,27.51472222,85.0525,85.08083333
7,27.96861111,27.9775,85.22083333,85.25
8,28.57666667,28.60777778,82.43111111,82.4475
9,27.9125,27.92111111,85.38055556,85.41222222
10,27.79666667,27.84111111,86.325,86.34694444
11,28.19277778,28.23472222,85.36527778,85.40083333
12,27.95666667,27.9875,85.94166667,85.96222222
13,28.15277778,28.17694444,84.03333333,84.17666667
14,28.37111111,28.41666667,83.8675,83.90833333
15,27.77944444,27.79416667,86.18833333,86.21916667
16,29.55277778,29.58055556,81.15,81.2
17,27.11666667,27.14388889,87.02777778,87.07083333
18,28,28.01638889,85.08777778,85.11861111
19,27.17611111,27.19972222,86.99027778,87.01666667
20,27.43333333,27.45,86.55972222,86.57416667
21,28.38,28.39972222,84.37222222,84.4
22,27.41666667,27.435,87.3175,87.37861111
23,28.5,28.53333333,83.67861111,83.70833333
24,27.39638889,27.42111111,87.06444444,87.09888889
25,28.265,28.27888889,83.40833333,83.43944444
26,28.23472222,28.265,83.40833333,83.43944444
27,27.40777778,27.42333333,87.09916667,87.12888889
28,27.85305556,27.86666667,85.73472222,85.75
29,27.44166667,27.47777778,85.75,85.77583333
30,27.58361111,27.63055556,87.25,87.29888889
31,27.92111111,27.93444444,85.38138889,85.39138889
32,27.61027778,27.65222222,86.29861111,86.32416667
33,27.34111111,27.35972222,86.84388889,86.85916667
34,28.30833333,28.32916667,84.40138889,84.42361111
35,28.20833333,28.26666667,84.06666667,84.125
36,28.27222222,28.29722222,84.18333333,84.21666667
37,28.18333333,28.20833333,83.32777778,83.36194444
38,27.17777778,27.19388889,87.85,87.8875
39,26.95388889,26.99083333,87.89694444,87.90944444
40,28.36027778,28.37944444,84.14583333,84.16944444
41,28.29805556,28.32472222,83.40444444,83.41666667
42,28.19722222,28.225,83.38833333,83.41944444
43,28.2,28.22055556,83.67444444,83.70138889
44,27.49333333,27.50472222,86.04861111,86.07583333
45,27.30527778,27.33333333,87.43416667,87.46527778
46,27.42361111,27.44722222,87.28611111,87.30833333
47,27.87833333,27.90138889,84.345,84.36555556
48,27.37694444,27.39333333,86.44388889,86.46416667
49,27.73611111,27.76666667,83.50333333,83.53333333
50,28.50027778,28.52055556,83.63333333,83.66666667
51,28.3125,28.34222222,83.76972222,83.8
52,26.80555556,26.83333333,87.47916667,87.49972222
53,29.72722222,29.73694444,80.61361111,80.65555556
54,26.88583333,26.93361111,87.94388889,87.95833333
55,27.68333333,27.70277778,87.34444444,87.36666667
56,27.905,27.92444444,85.89055556,85.92166667
57,28.90055556,28.91666667,81.82277778,81.875
58,26.8975,26.91444444,87.98638889,88.01916667
59,27.5,27.52222222,86.37611111,86.40277778
60,28.94027778,28.95833333,81.80555556,81.96722222
61,28.16944444,28.18194444,84.90138889,84.93083333
62,27.48055556,27.53,86.26111111,86.30027778
