sn,start_lat,end_lat,start_lng,end_lng
1,28.01583333,28.03611111,84.97638889,85.0125
2,28.30611111,28.31361111,83.76305556,83.77555556
3,27.83333333,27.875,84.45833333,84.5
4,27.68333333,27.71666667,83.93888889,83.95916667
5,27.69583333,27.71611111,85.15027778,85.16666667
6,27.81694444,27.82916667,84.5225,84.53888889
7,27.475,27.48333333,85.25833333,85.28333333
8,27.61,27.62194444,86.07944444,86.09861111
9,27.74722222,27.76527778,85.48333333,85.49722222
10,28.35805556,28.37027778,84.40555556,84.43888889
11,27.87083333,27.89166667,85.9375,85.95833333
12,27.60833333,27.61666667,86.27777778,86.29277778
13,28.36111111,28.365,84.01027778,84.02055556
14,27.89638889,27.91611111,83.84583333,83.87138889
15,28.39166667,28.41666667,83.59166667,83.625
16,28.36388889,28.375,83.88333333,83.91666667
17,27.16666667,27.17305556,87.34888889,87.36
18,27.56138889,27.61666667,85.01944444,85.05138889
19,27.60222222,27.61666667,85.18972222,85.20833333
20,27.5,27.54166667,85.5,85.51666667
21,28.24222222,28.24222222,84.37972222,84.39111111
22,28.20833333,28.23333333,84.15,84.17916667
23,27.80111111,27.81388889,84.95111111,84.95388889
24,27.7,27.75,85.85833333,85.91666667
25,28.29,28.30277778,84.26416667,84.33027778
26,28.08611111,28.10305556,84.42833333,84.42861111
27,27.85277778,27.87972222,85.89166667,85.90833333
28,28.4,28.41666667,83.35,83.39166667
29,29,29.03,80.7375,80.745
30,27.15416667,27.15861111,87.78194444,87.78472222
31,28.25,28.26722222,83.59138889,83.625
32,28.3,28.325,83.68333333,83.70833333
33,27.85305556,27.86666667,85.71611111,85.75
34,27.85138889,27.86666667,85.9175,85.93472222
35,27.05861111,27.07694444,87.94777778,87.99805556
36,27.43333333,27.45833333,85.4,85.43333333
37,27.80277778,27.81472222,85.775,85.79388889
38,27.66666667,27.6825,85.73361111,85.78027778
39,27.95472222,27.975,85.31527778,85.35444444
40,27.89527778,27.92222222,85.52222222,85.5475
41,27.77972222,27.8,83.54027778,83.55361111
42,27.59277778,27.60416667,85.12805556,85.155
43,27.7075,27.72444444,85.13527778,85.15055556
44,29.27722222,29.29583333,80.655,80.66666667
45,27.625,27.6375,85.09416667,85.125
46,27.69138889,27.69611111,86.35416667,86.36583333
47,27.03944444,27.05277778,86.74694444,86.77527778
48,27.6925,27.70833333,86.35,86.35694444
49,27.76,27.81,84.68333333,84.7
50,27.72527778,27.74444444,84.94333333,84.95833333
51,27.17333333,27.19166667,86.82277778,86.83083333
52,28.42305556,28.43472222,83.69388889,83.70416667
53,27.23805556,27.26527778,85.17138889,85.19166667
54,29.67444444,29.69333333,80.67416667,80.70833333
55,27.97472222,28,85.43333333,85.44333333
56,29.47194444,29.49194444,81.125,81.14444444
57,29.43333333,29.45833333,81.15,81.16611111
58,27.99027778,28,85.11388889,85.125
59,28.09388889,28.11944444,84.53944444,84.56
60,28.75,28.80111111,82,82.06444444
61,27.69944444,27.72222222,84.605,84.64888889
62,27.93,27.95333333,85.49611111,85.51916667
63,28.15916667,28.17583333,84.36666667,84.38472222
64,27.93916667,27.95833333,85.30111111,85.31527778
65,27.94361111,27.95833333,84.95833333,84.99083333
66,27.95833333,27.97972222,85.40027778,85.40777778
67,27.60111111,27.61111111,86.06972222,86.08166667
68,27.93027778,27.95833333,85.54166667,85.56194444
69,27.8,27.81416667,85.4775,85.49638889
70,27.85055556,27.8675,85.96833333,86
71,29.88666667,29.90138889,80.57277778,80.59888889
72,28,28.01638889,85.08777778,85.11861111
73,28.01638889,28.03333333,85.08777778,85.10833333
74,27.75,27.78833333,84.91333333,84.92555556
75,29.48888889,29.51722222,81.04861111,81.05916667
76,27.75,27.76666667,83.5,83.50833333
77,28.31611111,28.32527778,84.37694444,84.40138889
78,27.73472222,27.75694444,83.62444444,83.64472222
79,27.50805556,27.53027778,86.32,86.33666667
80,29.22361111,29.24166667,82.12166667,82.15277778
81,28.79166667,28.85416667,82,82.04444444
82,28.13666667,28.17777778,85.25555556,85.29111111
83,27.57055556,27.59916667,86.25916667,86.27444444
84,28.19583333,28.21944444,82.90694444,82.92361111
85,28.16388889,28.18055556,85.27722222,85.29805556
86,28.75,28.77694444,83.71944444,83.77916667
87,27.53083333,27.54027778,86.58944444,86.60694444
88,27.14388889,27.175,87.9,87.925
89,27.53027778,27.55,86.30416667,86.32722222
90,28.50083333,28.51388889,83.29555556,83.34333333
91,27.27361111,27.28888889,86.58333333,86.61583333
92,27.90277778,27.91722222,85.4125,85.42055556
93,27.90277778,27.91722222,85.4125,85.42055556
94,26.86944444,26.8875,87.95,87.975
95,29.73333333,29.74555556,80.79194444,80.83333333
96,28.78333333,28.80361111,81.96666667,82
97,27,27.04444444,87.42305556,87.44333333
98,27.58555556,27.62222222,86.53388889,86.56416667
99,28.5475,28.57194444,82.64583333,82.69861111
100,27.875,27.88777778,85.6175,85.64916667
101,28.61305556,28.63361111,82.56833333,82.58083333
102,27.92694444,27.94472222,83.39027778,83.40083333
103,29.49194444,29.50416667,81.1275,81.145
104,28.01666667,28.05833333,85.025,85.05833333
105,27.92444444,27.93472222,85.45305556,85.46527778
106,29.02055556,29.15583333,80.715,80.73277778
107,27.78944444,27.80333333,85.04833333,85.08055556
108,27.94583333,27.96055556,84.59583333,84.60861111
109,26.82222222,26.8375,87.69583333,87.7125
110,27.39333333,27.41666667,87.91666667,87.95055556
111,28.08333333,28.08777778,84.94861111,84.96166667
112,28.21,28.24305556,84.61666667,84.63888889
113,28.09388889,28.1075,84.66166667,84.70222222
114,27.93277778,27.94583333,85.68222222,85.70916667
115,28.2975,28.32444444,84.19361111,84.21361111
116,27.89277778,27.90166667,86.83333333,86.85777778
117,27.78055556,27.79861111,85.95777778,85.98611111
118,29.50555556,29.52361111,81.83944444,81.86666667
119,27.97611111,27.98555556,85.6475,85.67361111
120,27.375,27.40972222,85.47444444,85.5
121,28.215,28.23138889,83.00777778,83.02277778
122,26.80888889,26.82861111,87.40805556,87.4425
123,27.75444444,27.775,85.81305556,85.83833333
124,26.80444444,26.82111111,87.53138889,87.54305556
125,28.11694444,28.13055556,83.26666667,83.31666667
126,28.43027778,28.44805556,83.36611111,83.385
127,27.85305556,27.88333333,82.98333333,83.00138889
128,27.15,27.16666667,87.375,87.4
129,29.15,29.18333333,80.34222222,80.37222222
130,27.5125,27.53444444,86.39861111,86.42333333
131,27.91666667,27.93416667,85.77361111,85.79027778
132,28.07222222,28.09166667,85.13333333,85.17916667
133,28.32888889,28.33916667,83.3725,83.38305556
134,29.58055556,29.60694444,81.14388889,81.16666667
135,29.25361111,29.27,82.36722222,82.38472222
136,27.83333333,27.85055556,85.67555556,85.69
137,27.67472222,27.69277778,86.32083333,86.33583333
138,29.0125,80.66111111,29.02083333,80.67083333
139,28.0625,28.08055556,83.53194444,83.56277778
140,28.45833333,28.47805556,83.385,83.40027778
141,27.79166667,27.8025,84.28027778,84.29972222
142,27.85305556,27.86666667,83.04583333,83.05638889
143,27.32222222,27.33888889,87.76666667,87.79166667
144,28.56666667,82.43333333,28.59444444,82.45
145,28.76944444,28.8125,82.47916667,82.5
